geo\time,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,
Valle d'Aosta/Vallée d'Aoste,3.2,(u),3.3,(u),4.5,,4.5,,5.3,,7.1,,8.3,,8.9,,8.9,,8.7,,7.8,,7,
Liguria,4.8,,5.4,,5.8,,6.6,,6.4,,8.1,,9.8,,10.8,,9.2,,9.7,,9.5,,9.9,
Lombardia,3.4,,3.7,,5.3,,5.5,,5.7,,7.4,,8,,8.2,,7.9,,7.4,,6.4,,6,
Provincia Autonoma di Bolzano/Bozen,2.6,,2.3,,2.9,,2.7,,3.3,,4.1,,4.4,,4.4,,3.8,,3.7,,3.1,,2.9,
Provincia Autonoma di Trento,2.9,,3.3,,3.5,,4.2,,4.4,,6.1,,6.5,,6.9,,6.8,,6.8,,5.7,,4.8,
Veneto,3.4,,3.4,,4.7,,5.7,,4.9,,6.4,,7.6,,7.5,,7.1,,6.8,,6.3,,6.4,
Friuli-Venezia Giulia,3.4,,4.3,,5.2,,5.7,,5.2,,6.7,,7.7,,8,,8,,7.5,,6.7,,6.7,
Emilia-Romagna,2.8,,3.2,,4.7,,5.6,,5.2,,7,,8.4,,8.3,,7.7,,6.9,,6.5,,5.9,
Toscana,4.4,,5,,5.8,,6,,6.3,,7.8,,8.7,,10.1,,9.2,,9.5,,8.6,,7.3,
Umbria,4.6,,4.8,,6.6,,6.6,,6.4,,9.5,,10.3,,11.3,,10.4,,9.6,,10.5,,9.2,
Marche,4.1,,4.7,,6.6,,5.7,,6.8,,9.1,,10.9,,10.1,,9.9,,10.6,,10.6,,8.1,
Lazio,6.4,,7.5,,8.4,,9.2,,8.7,,10.6,,12,,12.5,,11.8,,11.1,,10.7,,11.1,
Abruzzo,6.2,,6.6,,8,,8.7,,8.6,,10.8,,11.3,,12.6,,12.6,,12.1,,11.7,,10.8,
Molise,8.1,,9.1,,9,,8.4,,9.9,,12,,15.6,,15.2,,14.3,,12.8,,14.6,,13,
Campania,11.2,,12.5,,12.9,,13.9,,15.4,,19.2,,21.5,,21.7,,19.8,,20.4,,20.9,,20.4,
Puglia,11.1,,11.6,,12.6,,13.5,,13.2,,15.7,,19.7,,21.5,,19.7,,19.4,,18.8,,16,
Basilicata,9.4,,11,,11.2,,12.9,,11.9,,14.5,,15.2,,14.7,,13.7,,13.3,,12.8,,12.5,
Calabria,11.1,,12,,11.3,,11.9,,12.7,,19.4,,22.3,,23.4,,22.9,,23.2,,21.6,,21.6,
Sicilia,12.9,,13.7,,13.8,,14.6,,14.3,,18.4,,21,,22.2,,21.4,,22.1,,21.5,,21.5,
Sardegna,9.8,,12.2,,13.2,,14,,13.5,,15.4,,17.5,,18.6,,17.4,,17.3,,17,,15.4,
Kypros,3.9,,3.7,,5.4,(b),6.3,,7.9,,11.8,,15.9,,16.1,,14.9,,12.9,,11.1,,8.4,
Latvija,6.1,,7.7,,17.5,,19.5,,16.2,,15,,11.9,,10.8,,9.9,,9.6,,8.7,,7.4,
Sostines regionas,:,,:,,:,,:,,:,,:,,9.7,,8.5,,7.6,,5.6,,4.8,,4.6,
Vidurio ir vakaru Lietuvos regionas,:,,:,,:,,:,,:,,:,,12.6,,11.6,,9.8,,8.8,,8.1,,6.9,
Lietuva (NUTS 2013),4.2,,5.8,,13.8,,17.8,,15.4,,13.4,,:,,:,,:,,:,,:,,:,
Luxembourg,4.1,(b),5.1,,5.1,(b),4.4,,4.9,,5.1,,5.8,,5.9,,6.7,(b),6.3,,5.5,,5.6,
Budapest,:,,:,,:,,:,,:,,:,,8.5,,6,,5.1,,4.3,,2.9,,3.1,
Pest,:,,:,,:,,:,,:,,:,,9.1,,6.5,,5.7,,3.1,,2.6,,2.2,
