geo\time,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
Centro (PT),17400,,18000,,17600,,17100,,17700,,17200,,17200,,17700,,18300,,19400,,19600,,20000,
Área Metropolitana de Lisboa,29200,,30200,,30000,,28700,,29500,,28300,,27500,,28100,,28700,,29600,,29700,,30100,
Alentejo,19100,,19600,,19100,,18000,,19100,,18400,,18200,,18400,,19200,,21000,,21000,,21700,
Região Autónoma dos Açores (PT),18100,,18600,,19000,,18300,,19100,,18400,,18200,,18600,,19100,,20000,,20200,,20500,
Região Autónoma da Madeira (PT),20400,,20900,,20900,,19800,,20300,,19900,,18800,,19400,,20200,,21100,,21500,,22000,
Extra-Regio NUTS 2,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Nord-Vest,8900,(b),10400,(b),11400,(b),10900,(b),11100,(b),11000,(b),12500,,12600,,13400,,14300,,15700,,16900,(p)
Centru,9300,(b),11100,(b),12100,(b),11600,(b),11900,(b),12000,(b),13800,,13600,,14100,,15200,,16500,,17900,(p)
Nord-Est,6000,(b),6800,(b),7800,(b),7400,(b),7600,(b),7400,(b),9000,,9100,,9300,,9900,,10600,,11600,(p)
Sud-Est,8100,(b),9000,(b),10000,(b),9700,(b),10000,(b),10700,(b),12300,,13000,,13600,,13900,,14500,,15800,(p)
Sud - Muntenia,7900,(b),8900,(b),10400,(b),10300,(b),10000,(b),10900,(b),10900,,11400,,12800,,12800,,13900,,15100,(p)
Bucuresti - Ilfov,21500,(b),25500,(b),31700,(b),28200,(b),29200,(b),31900,(b),33700,,34300,,35500,,39100,,40600,,43200,(p)
Sud-Vest Oltenia,7400,(b),8300,(b),9400,(b),9100,(b),9300,(b),9200,(b),10800,,10700,,10800,,11800,,12500,,13600,(p)
Vest,10700,(b),12100,(b),14000,(b),13300,(b),13900,(b),14100,(b),15200,,15100,,15300,,16900,,18500,,20000,(p)
Extra-Regio NUTS 2,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Vzhodna Slovenija,17400,,18500,,19200,,17000,,17300,,17900,,18000,,18200,,18900,,19700,,20000,,21000,
Zahodna Slovenija,26000,,27800,,28400,,25400,,25700,,26100,,26200,,26100,,27100,,28300,,28900,,30600,
Bratislavský kraj,36400,,41200,,43100,,42800,,46300,,48400,,48800,,50600,,51600,,54200,,54000,,53800,(e)
