geo\time,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
Podkarpackie,0,,0,,0,,0,,0,,0,,7,,91,,112,,112,,112,,:,
Podlaskie,0,,0,,0,,0,,0,,0,,0,,0,,0,,:,(z),0,,:,
Norte,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,(z),:,,:,
Algarve,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,(z),:,,:,
Centro (PT),:,,:,,:,,:,,:,,:,,:,,:,,:,,:,(z),:,,:,
Área Metropolitana de Lisboa,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,(z),:,,:,
Alentejo,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,(z),:,,:,
Região Autónoma dos Açores (PT),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Região Autónoma da Madeira (PT),0,,0,,0,,0,,0,,0,,0,,0,,:,,0,,0,,0,
Nord-Vest,0,,0,,0,,41,,52,,52,,52,,52,,52,,52,,52,,52,
Centru,0,,0,,0,,0,,0,,17,,18,,55,,93,,93,,93,,93,
Nord-Est,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Sud-Est,1,,1,,1,,1,,1,,1,,74,,74,,74,,74,,74,,74,
Sud - Muntenia,176,,229,,229,,228,,228,,229,,260,,258,,258,,258,,258,,258,
Bucuresti - Ilfov,51,,51,,51,,51,,51,,51,,77,,75,,75,,75,,75,,75,
Sud-Vest Oltenia,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Vest,0,,0,,0,,0,,0,,0,,69,,130,,131,,195,,195,,211,
Vzhodna Slovenija,:,,:,,:,,:,,:,,:,,384,,391,,391,,391,,391,,399,
Zahodna Slovenija,:,,:,,:,,:,,:,,:,,385,,380,,380,,384,,384,,384,
Bratislavský kraj,107,,110,,110,,110,,110,,114,,114,,114,,112,,110,,110,,110,
Západné Slovensko,144,,148,,147,,147,,158,,158,,158,,155,,155,,155,,155,,155,
Stredné Slovensko,47,,69,,69,,70,,70,,69,,69,,67,,67,,83,,83,,102,
Východné Slovensko,36,,46,,66,,73,,89,,89,,91,,89,,87,,116,,116,,116,
Länsi-Suomi,102,,102,,115,,114,,115,,126,,115,,115,,115,,115,,115,,115,
Helsinki-Uusimaa,258,,258,,257,,281,,281,,281,,281,,281,,322,,322,,322,,322,
Etelä-Suomi,244,,244,,271,,271,,271,,271,,271,,281,,307,,307,,315,,318,
